files,output,flag,username,timestamp
['E:\\projects\\img_matting\\P3M_Net\\afs_matting\\afs_matting_v6\\flagged\\files\\c16993d94cd32cbbd969d4dc8dac8af72b0bda5f\\srchttp___c-ssl.duitang.com_uploads_item_201610_14_20161014165303_rLAuK.thumb.1000_0.jpegreferhttp___c-ssl.duitang.webp'],E:\projects\img_matting\P3M_Net\afs_matting\afs_matting_v6\flagged\output\380c00d97a785e8fb8077e172f2bac6596c262d6\results.zip,,,2024-02-23 18:14:36.609945
['E:\\projects\\img_matting\\P3M_Net\\afs_matting\\afs_matting_v6\\flagged\\files\\a10d4d4f9fa174f76709656a32b76033606a563e\\1Z91014522U926-0-lp.jpg'],E:\projects\img_matting\P3M_Net\afs_matting\afs_matting_v6\flagged\output\762cf2f89f98e00e7f72d4447625f9c2cd65efad\results.zip,,,2024-02-23 18:15:13.062504
